Beacon,RSSI
C8:5B:EA:43:6F:75,-57
DF:99:3D:6C:7B:BB,-72
F7:24:98:9B:B6:EA,-50
C9:EC:7A:17:D8:D5,-68
FB:D3:B5:B9:89:F2,-67
EA:EF:87:2F:4D:93,-67
C8:5B:EA:43:6F:75,-51
DF:0A:5F:9E:B1:BB,-64
F7:24:98:9B:B6:EA,-54
C9:EC:7A:17:D8:D5,-65
C8:5B:EA:43:6F:75,-57
DF:99:3D:6C:7B:BB,-60
DF:99:3D:6C:7B:BB,-66
DF:99:3D:6C:7B:BB,-66
F7:24:98:9B:B6:EA,-50
C2:02:C7:D5:7A:30,-65
FB:D3:B5:B9:89:F2,-67
C9:EC:7A:17:D8:D5,-67
EA:EF:87:2F:4D:93,-67
C8:5B:EA:43:6F:75,-47
DF:99:3D:6C:7B:BB,-64
DF:99:3D:6C:7B:BB,-64
C9:EC:7A:17:D8:D5,-65
EA:EF:87:2F:4D:93,-67
C8:5B:EA:43:6F:75,-56
FB:D3:B5:B9:89:F2,-62
F7:24:98:9B:B6:EA,-51
EA:EF:87:2F:4D:93,-65
C8:5B:EA:43:6F:75,-48
FB:D3:B5:B9:89:F2,-65
F7:24:98:9B:B6:EA,-54
C9:EC:7A:17:D8:D5,-64
EA:EF:87:2F:4D:93,-65
C8:5B:EA:43:6F:75,-56
FB:D3:B5:B9:89:F2,-61
F7:24:98:9B:B6:EA,-54
C9:EC:7A:17:D8:D5,-69
EA:EF:87:2F:4D:93,-61
C8:5B:EA:43:6F:75,-47
F7:24:98:9B:B6:EA,-53
C9:EC:7A:17:D8:D5,-65
C8:5B:EA:43:6F:75,-59
FB:D3:B5:B9:89:F2,-63
F7:24:98:9B:B6:EA,-56
EA:EF:87:2F:4D:93,-60
C8:5B:EA:43:6F:75,-46
FB:D3:B5:B9:89:F2,-69
F7:24:98:9B:B6:EA,-53
C9:EC:7A:17:D8:D5,-65
EA:EF:87:2F:4D:93,-64
C8:5B:EA:43:6F:75,-50
FB:D3:B5:B9:89:F2,-64
F7:24:98:9B:B6:EA,-53
C9:EC:7A:17:D8:D5,-70
EA:EF:87:2F:4D:93,-58
C8:5B:EA:43:6F:75,-46
FB:D3:B5:B9:89:F2,-68
F7:24:98:9B:B6:EA,-56
C9:EC:7A:17:D8:D5,-65
C8:5B:EA:43:6F:75,-54
FB:D3:B5:B9:89:F2,-62
F7:24:98:9B:B6:EA,-54
C9:EC:7A:17:D8:D5,-71
EA:EF:87:2F:4D:93,-58
C8:5B:EA:43:6F:75,-49
F7:24:98:9B:B6:EA,-56
C9:EC:7A:17:D8:D5,-65
EA:EF:87:2F:4D:93,-66
C8:5B:EA:43:6F:75,-48
F7:24:98:9B:B6:EA,-50
FB:D3:B5:B9:89:F2,-63
C9:EC:7A:17:D8:D5,-70
EA:EF:87:2F:4D:93,-60
C8:5B:EA:43:6F:75,-56
F7:24:98:9B:B6:EA,-52
EA:EF:87:2F:4D:93,-66
C8:5B:EA:43:6F:75,-47
F7:24:98:9B:B6:EA,-54
FB:D3:B5:B9:89:F2,-67
C9:EC:7A:17:D8:D5,-69
EA:EF:87:2F:4D:93,-63
C8:5B:EA:43:6F:75,-58
F7:24:98:9B:B6:EA,-53
FB:D3:B5:B9:89:F2,-66
C9:EC:7A:17:D8:D5,-66
EA:EF:87:2F:4D:93,-59
C8:5B:EA:43:6F:75,-53
F7:24:98:9B:B6:EA,-50
FB:D3:B5:B9:89:F2,-70
C9:EC:7A:17:D8:D5,-68
EA:EF:87:2F:4D:93,-66
C8:5B:EA:43:6F:75,-56
F7:24:98:9B:B6:EA,-53
FB:D3:B5:B9:89:F2,-68
C9:EC:7A:17:D8:D5,-65
C8:5B:EA:43:6F:75,-45
F7:24:98:9B:B6:EA,-53
FB:D3:B5:B9:89:F2,-62
C9:EC:7A:17:D8:D5,-68
C2:2E:2C:05:6E:30,-64
C8:5B:EA:43:6F:75,-54
EA:EF:87:2F:4D:93,-66
F7:24:98:9B:B6:EA,-53
C9:EC:7A:17:D8:D5,-65
EA:EF:87:2F:4D:93,-59
F7:24:98:9B:B6:EA,-54
FB:D3:B5:B9:89:F2,-63
C9:EC:7A:17:D8:D5,-68
C8:5B:EA:43:6F:75,-51
F7:24:98:9B:B6:EA,-54
FB:D3:B5:B9:89:F2,-69
C9:EC:7A:17:D8:D5,-65
C8:5B:EA:43:6F:75,-48
EA:EF:87:2F:4D:93,-57
F7:24:98:9B:B6:EA,-57
C9:EC:7A:17:D8:D5,-69
C8:5B:EA:43:6F:75,-51
FB:D3:B5:B9:89:F2,-69
F7:24:98:9B:B6:EA,-54
C9:EC:7A:17:D8:D5,-71
C8:5B:EA:43:6F:75,-55
EA:EF:87:2F:4D:93,-59
FB:D3:B5:B9:89:F2,-62
F7:24:98:9B:B6:EA,-50
C9:EC:7A:17:D8:D5,-69
C8:5B:EA:43:6F:75,-47
EA:EF:87:2F:4D:93,-68
FB:D3:B5:B9:89:F2,-69
F7:24:98:9B:B6:EA,-55
C9:EC:7A:17:D8:D5,-66
C8:5B:EA:43:6F:75,-57
EA:EF:87:2F:4D:93,-59
FB:D3:B5:B9:89:F2,-65
F7:24:98:9B:B6:EA,-54
C9:EC:7A:17:D8:D5,-69
C8:5B:EA:43:6F:75,-47
EA:EF:87:2F:4D:93,-68
DF:11:A7:30:C2:BB,-65
FB:D3:B5:B9:89:F2,-68
F7:24:98:9B:B6:EA,-55
C9:EC:7A:17:D8:D5,-65
C8:5B:EA:43:6F:75,-50
EA:EF:87:2F:4D:93,-59
C9:EC:7A:17:D8:D5,-68
EA:EF:87:2F:4D:93,-67
FB:D3:B5:B9:89:F2,-66
DF:3C:4B:FA:44:BB,-65
F7:24:98:9B:B6:EA,-54
C9:EC:7A:17:D8:D5,-66
C8:5B:EA:43:6F:75,-51
EA:EF:87:2F:4D:93,-65
FB:D3:B5:B9:89:F2,-68
F7:24:98:9B:B6:EA,-55
DF:99:3D:6C:7B:BB,-68
DF:99:3D:6C:7B:BB,-69
C8:5B:EA:43:6F:75,-47
EA:EF:87:2F:4D:93,-66
FB:D3:B5:B9:89:F2,-63
F7:24:98:9B:B6:EA,-54
DF:6E:D2:84:7F:BB,-71
C9:EC:7A:17:D8:D5,-65
C8:5B:EA:43:6F:75,-50
EA:EF:87:2F:4D:93,-66
FB:D3:B5:B9:89:F2,-68
F7:24:98:9B:B6:EA,-51
C9:EC:7A:17:D8:D5,-69
EA:EF:87:2F:4D:93,-66
FB:D3:B5:B9:89:F2,-66
C9:EC:7A:17:D8:D5,-66
C8:5B:EA:43:6F:75,-52
EA:EF:87:2F:4D:93,-65
FB:D3:B5:B9:89:F2,-67
F7:24:98:9B:B6:EA,-51
C9:EC:7A:17:D8:D5,-70
C8:5B:EA:43:6F:75,-47
EA:EF:87:2F:4D:93,-64
FB:D3:B5:B9:89:F2,-66
F7:24:98:9B:B6:EA,-55
C9:EC:7A:17:D8:D5,-66
C8:5B:EA:43:6F:75,-58
FB:D3:B5:B9:89:F2,-67
F7:24:98:9B:B6:EA,-51
C8:5B:EA:43:6F:75,-47
EA:EF:87:2F:4D:93,-65
FB:D3:B5:B9:89:F2,-68
F7:24:98:9B:B6:EA,-53
C9:EC:7A:17:D8:D5,-63
C2:65:8C:3B:5E:30,-63
C8:5B:EA:43:6F:75,-51
EA:EF:87:2F:4D:93,-63
FB:D3:B5:B9:89:F2,-63
F7:24:98:9B:B6:EA,-54
C9:EC:7A:17:D8:D5,-69
C8:5B:EA:43:6F:75,-47
F7:24:98:9B:B6:EA,-53
C9:EC:7A:17:D8:D5,-65
C8:5B:EA:43:6F:75,-50
C9:EC:7A:17:D8:D5,-69
C8:5B:EA:43:6F:75,-53
FB:D3:B5:B9:89:F2,-62
EA:EF:87:2F:4D:93,-68
F7:24:98:9B:B6:EA,-51
C9:EC:7A:17:D8:D5,-69
C8:5B:EA:43:6F:75,-47
FB:D3:B5:B9:89:F2,-68
EA:EF:87:2F:4D:93,-60
F7:24:98:9B:B6:EA,-55
C9:EC:7A:17:D8:D5,-65
C8:5B:EA:43:6F:75,-53
DF:99:3D:6C:7B:BB,-75
FB:D3:B5:B9:89:F2,-67
EA:EF:87:2F:4D:93,-69
F7:24:98:9B:B6:EA,-51
C9:EC:7A:17:D8:D5,-71
C8:5B:EA:43:6F:75,-59
FB:D3:B5:B9:89:F2,-69
EA:EF:87:2F:4D:93,-68
F7:24:98:9B:B6:EA,-57
C9:EC:7A:17:D8:D5,-68
C8:5B:EA:43:6F:75,-48
EA:EF:87:2F:4D:93,-68
F7:24:98:9B:B6:EA,-54
C9:EC:7A:17:D8:D5,-69
C8:5B:EA:43:6F:75,-58
EA:EF:87:2F:4D:93,-60
FB:D3:B5:B9:89:F2,-67
F7:24:98:9B:B6:EA,-55
C9:EC:7A:17:D8:D5,-64
C8:5B:EA:43:6F:75,-47
EA:EF:87:2F:4D:93,-62
FB:D3:B5:B9:89:F2,-63
F7:24:98:9B:B6:EA,-55
C9:EC:7A:17:D8:D5,-72
C8:5B:EA:43:6F:75,-58
EA:EF:87:2F:4D:93,-62
FB:D3:B5:B9:89:F2,-69
F7:24:98:9B:B6:EA,-55
C9:EC:7A:17:D8:D5,-69
C8:5B:EA:43:6F:75,-48
FB:D3:B5:B9:89:F2,-68
F7:24:98:9B:B6:EA,-56
C9:EC:7A:17:D8:D5,-68
C8:5B:EA:43:6F:75,-58
EA:EF:87:2F:4D:93,-64
FB:D3:B5:B9:89:F2,-67
F7:24:98:9B:B6:EA,-50
C9:EC:7A:17:D8:D5,-67
C8:5B:EA:43:6F:75,-52
EA:EF:87:2F:4D:93,-65
FB:D3:B5:B9:89:F2,-62
F7:24:98:9B:B6:EA,-57
C9:EC:7A:17:D8:D5,-68
C8:5B:EA:43:6F:75,-58
EA:EF:87:2F:4D:93,-65
FB:D3:B5:B9:89:F2,-64
F7:24:98:9B:B6:EA,-48
C9:EC:7A:17:D8:D5,-66
C8:5B:EA:43:6F:75,-47
EA:EF:87:2F:4D:93,-64
FB:D3:B5:B9:89:F2,-62
F7:24:98:9B:B6:EA,-54
C9:EC:7A:17:D8:D5,-67
C8:5B:EA:43:6F:75,-60
EA:EF:87:2F:4D:93,-69
FB:D3:B5:B9:89:F2,-67
F7:24:98:9B:B6:EA,-51
C9:EC:7A:17:D8:D5,-69
C8:5B:EA:43:6F:75,-46
C8:5B:EA:43:6F:75,-51
EA:EF:87:2F:4D:93,-72
FB:D3:B5:B9:89:F2,-67
DF:27:48:29:94:BB,-68
C9:EC:7A:17:D8:D5,-72
C8:5B:EA:43:6F:75,-55
EA:EF:87:2F:4D:93,-65
FB:D3:B5:B9:89:F2,-65
F7:24:98:9B:B6:EA,-52
C9:EC:7A:17:D8:D5,-67
C8:5B:EA:43:6F:75,-47
EA:EF:87:2F:4D:93,-66
FB:D3:B5:B9:89:F2,-65
F7:24:98:9B:B6:EA,-54
C9:EC:7A:17:D8:D5,-70
C8:5B:EA:43:6F:75,-56
EA:EF:87:2F:4D:93,-61
FB:D3:B5:B9:89:F2,-63
F7:24:98:9B:B6:EA,-51
C9:EC:7A:17:D8:D5,-66
C8:5B:EA:43:6F:75,-51
F7:24:98:9B:B6:EA,-54
C9:EC:7A:17:D8:D5,-71
C8:5B:EA:43:6F:75,-59
EA:EF:87:2F:4D:93,-63
FB:D3:B5:B9:89:F2,-64
F7:24:98:9B:B6:EA,-52
C9:EC:7A:17:D8:D5,-70
C8:5B:EA:43:6F:75,-53
FB:D3:B5:B9:89:F2,-65
F7:24:98:9B:B6:EA,-59
C9:EC:7A:17:D8:D5,-68
C8:5B:EA:43:6F:75,-59
EA:EF:87:2F:4D:93,-61
FB:D3:B5:B9:89:F2,-63
F7:24:98:9B:B6:EA,-51
C9:EC:7A:17:D8:D5,-68
C8:5B:EA:43:6F:75,-56
EA:EF:87:2F:4D:93,-70
F7:24:98:9B:B6:EA,-60
C9:EC:7A:17:D8:D5,-71
C8:5B:EA:43:6F:75,-61
EA:EF:87:2F:4D:93,-60
FB:D3:B5:B9:89:F2,-63
F7:24:98:9B:B6:EA,-53
C9:EC:7A:17:D8:D5,-68
C8:5B:EA:43:6F:75,-66
EA:EF:87:2F:4D:93,-73
F7:24:98:9B:B6:EA,-59
FB:D3:B5:B9:89:F2,-65
C8:5B:EA:43:6F:75,-65
EA:EF:87:2F:4D:93,-63
F7:24:98:9B:B6:EA,-52
FB:D3:B5:B9:89:F2,-65
C9:EC:7A:17:D8:D5,-69
C8:5B:EA:43:6F:75,-60
FB:D3:B5:B9:89:F2,-65
C9:EC:7A:17:D8:D5,-73
C8:5B:EA:43:6F:75,-71
EA:EF:87:2F:4D:93,-68
DF:99:3D:6C:7B:BB,-82
DF:99:3D:6C:7B:BB,-82
FB:D3:B5:B9:89:F2,-63
F7:24:98:9B:B6:EA,-50
C9:EC:7A:17:D8:D5,-67
C9:EC:7A:17:D8:D5,-67
C8:5B:EA:43:6F:75,-56
EA:EF:87:2F:4D:93,-75
F7:24:98:9B:B6:EA,-53
C9:EC:7A:17:D8:D5,-71
C8:5B:EA:43:6F:75,-64
EA:EF:87:2F:4D:93,-75
F7:24:98:9B:B6:EA,-60
FB:D3:B5:B9:89:F2,-64
C9:EC:7A:17:D8:D5,-67
C8:5B:EA:43:6F:75,-63
EA:EF:87:2F:4D:93,-72
F7:24:98:9B:B6:EA,-59
C9:EC:7A:17:D8:D5,-69
EA:EF:87:2F:4D:93,-70
F7:24:98:9B:B6:EA,-65
FB:D3:B5:B9:89:F2,-63
C9:EC:7A:17:D8:D5,-67
C8:5B:EA:43:6F:75,-62
EA:EF:87:2F:4D:93,-72
F7:24:98:9B:B6:EA,-58
FB:D3:B5:B9:89:F2,-64
C9:EC:7A:17:D8:D5,-67
C2:5E:79:B8:9B:30,-68
C8:5B:EA:43:6F:75,-61
EA:EF:87:2F:4D:93,-70
F7:24:98:9B:B6:EA,-64
FB:D3:B5:B9:89:F2,-62
C9:EC:7A:17:D8:D5,-67
C8:5B:EA:43:6F:75,-72
EA:EF:87:2F:4D:93,-72
F7:24:98:9B:B6:EA,-58
FB:D3:B5:B9:89:F2,-63
C9:EC:7A:17:D8:D5,-67
C8:5B:EA:43:6F:75,-62
EA:EF:87:2F:4D:93,-71
F7:24:98:9B:B6:EA,-54
FB:D3:B5:B9:89:F2,-68
EA:EF:87:2F:4D:93,-71
C8:5B:EA:43:6F:75,-68
F7:24:98:9B:B6:EA,-58
FB:D3:B5:B9:89:F2,-63
C9:EC:7A:17:D8:D5,-67
C8:5B:EA:43:6F:75,-62
EA:EF:87:2F:4D:93,-71
F7:24:98:9B:B6:EA,-60
FB:D3:B5:B9:89:F2,-67
C9:EC:7A:17:D8:D5,-66
EA:EF:87:2F:4D:93,-64
C8:5B:EA:43:6F:75,-64
F7:24:98:9B:B6:EA,-57
FB:D3:B5:B9:89:F2,-63
C8:5B:EA:43:6F:75,-62
F7:24:98:9B:B6:EA,-61
C9:EC:7A:17:D8:D5,-69
DF:6E:41:42:C9:BB,-65
FB:D3:B5:B9:89:F2,-62
EA:EF:87:2F:4D:93,-64
C8:5B:EA:43:6F:75,-65
C9:EC:7A:17:D8:D5,-66
FB:D3:B5:B9:89:F2,-68
EA:EF:87:2F:4D:93,-72
C8:5B:EA:43:6F:75,-62
C9:EC:7A:17:D8:D5,-68
FB:D3:B5:B9:89:F2,-64
EA:EF:87:2F:4D:93,-64
C8:5B:EA:43:6F:75,-65
F7:24:98:9B:B6:EA,-55
C9:EC:7A:17:D8:D5,-67
FB:D3:B5:B9:89:F2,-68
EA:EF:87:2F:4D:93,-71
C8:5B:EA:43:6F:75,-63
FB:D3:B5:B9:89:F2,-64
EA:EF:87:2F:4D:93,-63
C8:5B:EA:43:6F:75,-63
F7:24:98:9B:B6:EA,-55
C9:EC:7A:17:D8:D5,-68
FB:D3:B5:B9:89:F2,-68
EA:EF:87:2F:4D:93,-70
C8:5B:EA:43:6F:75,-62
F7:24:98:9B:B6:EA,-67
FB:D3:B5:B9:89:F2,-65
C9:EC:7A:17:D8:D5,-68
EA:EF:87:2F:4D:93,-71
C8:5B:EA:43:6F:75,-63
F7:24:98:9B:B6:EA,-60
FB:D3:B5:B9:89:F2,-65
C9:EC:7A:17:D8:D5,-68
EA:EF:87:2F:4D:93,-70
C8:5B:EA:43:6F:75,-63
F7:24:98:9B:B6:EA,-65
FB:D3:B5:B9:89:F2,-65
C9:EC:7A:17:D8:D5,-68
EA:EF:87:2F:4D:93,-63
C8:5B:EA:43:6F:75,-62
F7:24:98:9B:B6:EA,-58
FB:D3:B5:B9:89:F2,-64
C9:EC:7A:17:D8:D5,-70
EA:EF:87:2F:4D:93,-69
C8:5B:EA:43:6F:75,-63
F7:24:98:9B:B6:EA,-62
EA:EF:87:2F:4D:93,-75
C8:5B:EA:43:6F:75,-62
F7:24:98:9B:B6:EA,-57
FB:D3:B5:B9:89:F2,-63
C9:EC:7A:17:D8:D5,-70
EA:EF:87:2F:4D:93,-69
C8:5B:EA:43:6F:75,-60
F7:24:98:9B:B6:EA,-61
C2:2E:19:CB:B0:30,-65
FB:D3:B5:B9:89:F2,-65
C9:EC:7A:17:D8:D5,-66
EA:EF:87:2F:4D:93,-75
DF:99:3D:6C:7B:BB,-78
C8:5B:EA:43:6F:75,-63
F7:24:98:9B:B6:EA,-52
FB:D3:B5:B9:89:F2,-66
C9:EC:7A:17:D8:D5,-67
EA:EF:87:2F:4D:93,-70
C8:5B:EA:43:6F:75,-64
FB:D3:B5:B9:89:F2,-65
C9:EC:7A:17:D8:D5,-66
EA:EF:87:2F:4D:93,-82
C8:5B:EA:43:6F:75,-64
F7:24:98:9B:B6:EA,-51
FB:D3:B5:B9:89:F2,-63
EA:EF:87:2F:4D:93,-63
C8:5B:EA:43:6F:75,-64
F7:24:98:9B:B6:EA,-54
FB:D3:B5:B9:89:F2,-65
C9:EC:7A:17:D8:D5,-69
C8:5B:EA:43:6F:75,-71
F7:24:98:9B:B6:EA,-61
F7:24:98:9B:B6:EA,-53
FB:D3:B5:B9:89:F2,-66
C9:EC:7A:17:D8:D5,-68
EA:EF:87:2F:4D:93,-72
F7:24:98:9B:B6:EA,-59
FB:D3:B5:B9:89:F2,-65
C9:EC:7A:17:D8:D5,-72
EA:EF:87:2F:4D:93,-71
C8:5B:EA:43:6F:75,-65
F7:24:98:9B:B6:EA,-63
FB:D3:B5:B9:89:F2,-66
C9:EC:7A:17:D8:D5,-67
EA:EF:87:2F:4D:93,-63
C8:5B:EA:43:6F:75,-63
F7:24:98:9B:B6:EA,-53
FB:D3:B5:B9:89:F2,-63
C9:EC:7A:17:D8:D5,-70
C8:5B:EA:43:6F:75,-56
F7:24:98:9B:B6:EA,-53
FB:D3:B5:B9:89:F2,-63
C9:EC:7A:17:D8:D5,-68
EA:EF:87:2F:4D:93,-72
C8:5B:EA:43:6F:75,-58
F7:24:98:9B:B6:EA,-51
EA:EF:87:2F:4D:93,-66
C9:EC:7A:17:D8:D5,-68
C8:5B:EA:43:6F:75,-58
F7:24:98:9B:B6:EA,-56
FB:D3:B5:B9:89:F2,-65
C9:EC:7A:17:D8:D5,-68
EA:EF:87:2F:4D:93,-72
F7:24:98:9B:B6:EA,-51
FB:D3:B5:B9:89:F2,-62
C9:EC:7A:17:D8:D5,-72
C8:5B:EA:43:6F:75,-59
F7:24:98:9B:B6:EA,-55
DF:05:17:51:5F:BB,-65
FB:D3:B5:B9:89:F2,-65
C9:EC:7A:17:D8:D5,-72
EA:EF:87:2F:4D:93,-66
C8:5B:EA:43:6F:75,-53
F7:24:98:9B:B6:EA,-54
FB:D3:B5:B9:89:F2,-66
FB:D3:B5:B9:89:F2,-63
C9:EC:7A:17:D8:D5,-69
EA:EF:87:2F:4D:93,-71
C8:5B:EA:43:6F:75,-54
F7:24:98:9B:B6:EA,-55
C9:EC:7A:17:D8:D5,-70
EA:EF:87:2F:4D:93,-60
F7:24:98:9B:B6:EA,-59
FB:D3:B5:B9:89:F2,-62
C9:EC:7A:17:D8:D5,-73
C8:5B:EA:43:6F:75,-55
F7:24:98:9B:B6:EA,-52
C9:EC:7A:17:D8:D5,-71
EA:EF:87:2F:4D:93,-60
C8:5B:EA:43:6F:75,-61
F7:24:98:9B:B6:EA,-50
FB:D3:B5:B9:89:F2,-63
C9:EC:7A:17:D8:D5,-66
EA:EF:87:2F:4D:93,-72
C8:5B:EA:43:6F:75,-47
FB:D3:B5:B9:89:F2,-66
C8:5B:EA:43:6F:75,-59
F7:24:98:9B:B6:EA,-52
FB:D3:B5:B9:89:F2,-62
C9:EC:7A:17:D8:D5,-69
EA:EF:87:2F:4D:93,-70
C8:5B:EA:43:6F:75,-47
FB:D3:B5:B9:89:F2,-67
C9:EC:7A:17:D8:D5,-67
EA:EF:87:2F:4D:93,-62
C8:5B:EA:43:6F:75,-54
F7:24:98:9B:B6:EA,-51
FB:D3:B5:B9:89:F2,-62
EA:EF:87:2F:4D:93,-77
C8:5B:EA:43:6F:75,-50
EA:EF:87:2F:4D:93,-68
C9:EC:7A:17:D8:D5,-67
C8:5B:EA:43:6F:75,-52
F7:24:98:9B:B6:EA,-52
FB:D3:B5:B9:89:F2,-63
EA:EF:87:2F:4D:93,-68
C9:EC:7A:17:D8:D5,-67
C8:5B:EA:43:6F:75,-49
F7:24:98:9B:B6:EA,-54
FB:D3:B5:B9:89:F2,-68
DF:99:3D:6C:7B:BB,-70
EA:EF:87:2F:4D:93,-62
C9:EC:7A:17:D8:D5,-66
C8:5B:EA:43:6F:75,-55
F7:24:98:9B:B6:EA,-56
FB:D3:B5:B9:89:F2,-68
C8:5B:EA:43:6F:75,-49
F7:24:98:9B:B6:EA,-54
EA:EF:87:2F:4D:93,-61
C9:EC:7A:17:D8:D5,-66
C8:5B:EA:43:6F:75,-54
F7:24:98:9B:B6:EA,-56
